Object Type,Average,Median,Standard Deviation,Min,Max
StarburstG,0.09,0.0,1.4484806496411229,0,31
Blazar_Candidate,0.004,0.0,0.06318214912406725,0,1
Variable*_Candidate,0.006,0.0,0.0773042812773498,0,1
Supergiant_Candidate,0.002,0.0,0.044721359549995794,0,1
HorBranch*_Candidate,0.006,0.0,0.1341640786499874,0,3
Infrared,0.004,0.0,0.06318214912406725,0,1
GravLens,0.002,0.0,0.044721359549995794,0,1
Galaxy_Candidate,0.032,0.0,0.7155417527999327,0,16
Nova,0.018,0.0,0.360466186685363,0,8
Cepheid_Candidate,0.18,0.0,4.024922359499621,0,90
RSCVnV*_Candidate,0.002,0.0,0.044721359549995794,0,1
ULX,0.004,0.0,0.08944271909999159,0,2
