Plate ID, Date, RA_CTR, DEC_CTR
a06524, 1903-09-02T06:08:38.4Z, 33.779331, -12.228222
a11519, 1916-08-03T00:20:09.6Z, 226.694908, -15.422532
a13511, 1925-09-08T23:48:28.8Z, 258.85865, -49.195645
a01041, 1894-10-12T03:10:04.8Z, 254.007985, 67.86504
a18780, 1936-08-10T18:46:04.8Z, 313.198801, -45.287677
a02084, NA, NA, NA
a19205, NA, NA, NA
a18548, 1936-05-29T02:06:43.2Z, 277.169439, -2.997323
a15551, 1931-08-02T19:45:07.2Z, 247.468363, -45.567837
a03913, 1899-08-26T01:32:09.6Z, 257.765823, -22.296645
a04875, 1900-11-14T04:22:04.8Z, 353.941109, -32.001747
a14213, 1929-08-31T23:31:12Z, 346.607099, -67.257665
a17120, 1934-09-02T21:37:26.4Z, 13.558605, -72.797663
a11499, 1916-07-21T04:32:09.6Z, 257.126724, -14.8253
a06365, 1903-05-15T03:08:38.4Z, 158.859319, 12.060226
a10301, 1910-10-01T04:20:38.4Z, 349.783178, -52.171212
a07180, 1905-01-15T04:13:26.4Z, 109.139403, 52.541968
a06756, 1904-06-08T02:26:52.8Z, 193.812028, 7.045361
a13630, 1926-01-12T05:18:14.4Z, 124.332032, -34.320792
a18968, 1936-10-14T00:33:07.2Z, 36.076081, -39.603653
a11008, 1914-08-22T01:19:12Z, 256.103188, 14.772913
a00511, 1894-04-04T01:12:00Z, 189.040053, -3.5934
a05715, 1901-11-01T01:23:31.2Z, 318.935723, -34.70228
a05704, 1901-10-08T03:47:31.2Z, 334.177126, -52.124167
a10564, 1912-06-05T02:38:24Z, 166.99865, -46.68007
a11196, NA, NA, NA
a02632, 1897-08-11T02:16:48Z, 228.814161, -48.086027
a07376, 1905-07-01T02:33:16.6Z, 234.292985, -53.210538
a13321, 1925-06-12T23:26:52.8Z, 130.667367, -55.348986
a08274, 1907-05-16T01:04:48Z, 135.954782, -40.372985
a04461, 1900-06-17T01:49:26.4Z, 178.935181, -22.57862
a02088, NA, NA, NA
a18630, 1936-06-21T16:59:31.2Z, 214.287907, -35.332571
a01030, 1894-10-12T00:41:45.6Z, 266.624374, 82.168776
a18362, 1936-03-31T20:03:20.3Z, 114.734984, -44.996856
a12554, 1923-07-31T05:12:28.8Z, 294.406319, -31.333995
a14436, NA, NA, NA
a19280, 1937-04-18T20:03:50.4Z, 191.586239, -62.610522
a16689, 1933-12-19T19:53:45.6Z, 81.711951, -69.017541
a10878, 1914-05-27T00:34:33.6Z, 131.213447, -45.606499
a04390, 1900-05-19T02:58:33.6Z, 173.555626, -13.276515
a11316, 1915-07-29T00:19:53.5Z, 226.082679, -55.176115
a09299, 1909-05-30T03:20:09.6Z, 191.331969, -70.633234
a13367, 1925-06-26T00:25:55.2Z, 147.933517, -55.627612
a10346, 1910-11-26T04:39:21.6Z, 67.909465, -75.021903
a18264, 1936-02-13T21:46:21.4Z, 190.05409, -30.128648
a14657, 1930-04-05T20:31:12Z, 165.671995, -40.395255
a06833, 1904-07-24T09:21:36Z, 29.489137, 58.039656
a10889, 1914-05-30T01:27:50.4Z, 160.668013, -45.388006
a14243, 1929-09-27T00:18:43.2Z, 28.021861, -62.191969
a16095, 1932-06-10T19:29:16.8Z, 181.312751, -60.310475
a11707, 1917-09-14T07:55:12Z, 76.47486, -67.776136
a18253, 1936-02-10T21:25:14.5Z, 137.091194, 14.277151
a01379, NA, NA, NA
a15269, 1931-03-25T20:39:50.4Z, 171.192685, -45.447453
a06573, 1903-09-18T00:43:12Z, 261.824825, -25.669856
a06108, 1902-08-21T00:08:38.4Z, 288.990644, -26.3248
a08492, 1907-09-05T01:20:38.4Z, 263.024055, -30.253096
a04109, NA, NA, NA
a13544, 1925-09-19T08:34:04.8Z, 113.41724, -28.601261
