Plate ID, Date, RA_CTR, DEC_CTR, Dec_delta_x,Dec_delta_y, RA_delta_x, RA_delta_y, crpix1,crpix2, naxis1, naxis2 
a14233, 1929-09-13T17:55:40.8Z, 279.613566, -76.615664, -0.000180677, 1.78991e-05, 1.57356e-05, 0.000184325,25354.6126,8987.2912, 35268, 31627
a11074, 1915-03-06T02:35:31.2Z, 111.909662, -21.570835, -0.000182378, 2.94556e-06, 2.851e-06, 0.00018212,15796.307,4912.0236, 21953, 17402
a07360, 1905-06-25T08:51:21.6Z, 293.808647, -22.425122, -0.000182015, -1.60703e-06, -1.62386e-06, 0.000181987,18847.5665,15282.8284, 35268, 31627
a10906, 1914-05-31T02:19:40.8Z, 197.172135, 14.911614, -0.000180241, -5.86041e-07, -4.50956e-06, 0.000181894,6034.7484,7980.7242, 21953, 17493
a03193, 1898-07-24T02:54:14.4Z, 224.357036, -32.934064, -0.000182012, -2.67862e-06, -2.69831e-06, 0.000181947,18224.5582,15033.2983, 35268, 31627
