Plate ID, Date, RA_CTR, DEC_CTR, Dec_delta_x,Dec_delta_y, RA_delta_x, RA_delta_y, crpix1,crpix2, naxis1, naxis2 
a07000, 1904-10-14T01:43:40.8Z, 333.766127, 27.901903, -0.000181967, -1.54502e-06, -1.54699e-06, 0.000181988,17647.6787,16033.0235, 35268, 31627
a07001, 1904-10-14T02:45:36Z, 353.807485, 28.01676, -0.000181953, -1.44643e-06, -1.45077e-06, 0.000181981,17771.2485,16351.1526, 35268, 31627
a07002, 1904-10-27T00:28:48Z, 304.115444, -27.324037, -0.000181944, -4.18181e-06, -4.19281e-06, 0.000181929,17968.6343,15122.1289, 35268, 31627
a07003, 1904-11-01T01:09:07.2Z, 318.631381, -17.300122, -0.00018197, -2.67994e-06, -2.69039e-06, 0.000181954,17877.302,15459.9699, 35268, 31627
a07004, 1904-11-01T02:51:21.6Z, 348.460112, -89.93292, -0.000181689, 1.28939e-05, 1.25195e-05, 0.000181939,17457.6586,16596.2554, 31327, 38243
a07005, 1904-11-01T03:38:52.8Z, 343.975504, -7.069161, -0.000182007, -1.7708e-06, -1.76428e-06, 0.000181971,17790.0761,15741.1716, 35268, 31627
a07006, 1904-11-01T04:20:38.4Z, 49.240558, 37.834883, -0.000182048, 1.03454e-06, 9.74926e-07, 0.000182118,17531.5736,15728.8771, 35268, 31627
a07007, 1904-11-01T04:33:36Z, 49.288073, 47.916071, -0.00018207, 8.17435e-07, 7.42293e-07, 0.000182223,17684.6141,15917.1218, 35268, 31627
a07008, 1904-11-01T04:45:07.2Z, 49.054071, 27.508711, -0.000182042, -5.22397e-07, -5.45148e-07, 0.000182071,17877.7222,15225.6721, 35268, 31627
a07009, 1904-11-02T01:40:48Z, 318.661433, -17.237521, -0.000181978, -2.87982e-06, -2.88371e-06, 0.000181948,17649.5967,15655.2063, 35268, 31627
a07010, 1904-11-02T03:02:52.8Z, 48.819638, -37.107915, -0.000182058, 2.63134e-07, 2.75597e-07, 0.000182039,17556.4022,15546.1993, 35268, 31627
a07011, 1904-11-02T03:15:50.4Z, 48.821501, -32.272768, -0.000182069, 5.26561e-07, 5.36925e-07, 0.000182056,17673.3002,15152.2194, 35268, 31627
a07012, 1904-11-02T03:31:40.8Z, 49.103253, 2.79279, -0.000182042, 8.10942e-07, 7.8914e-07, 0.000182031,17343.7332,15667.3556, 35268, 31627
a07013, 1904-11-02T03:46:04.8Z, 49.170103, 7.827993, -0.000182053, -1.01023e-06, -1.03156e-06, 0.000182047,17394.885,15978.2696, 35268, 31627
a07014, 1904-11-02T04:07:40.8Z, 49.16704, 12.791264, -0.000182028, 7.43265e-07, 7.2687e-07, 0.000182033,17178.1211,15347.0486, 35268, 31627
a07015, 1904-11-02T04:20:38.4Z, 49.03102, 17.788788, -0.00018205, 2.58858e-07, 2.34259e-07, 0.000182062,18352.5568,15537.0538, 35268, 31627
a07016, 1904-11-03T02:08:09.6Z, 16.45125, -72.311987, -0.000181994, -5.10484e-07, -4.69537e-07, 0.000182048,17305.8183,14405.8435, 35268, 31627
a07017, 1904-11-05T01:23:31.2Z, 309.042742, -22.168634, -0.000182004, -2.30097e-06, -2.30898e-06, 0.000181953,17286.5561,15733.3093, 35268, 31627
a07018, 1904-11-05T02:35:31.2Z, 333.969609, -11.828916, -0.000182004, -1.66064e-06, -1.66062e-06, 0.000181969,17293.4189,15839.7954, 35268, 31627
a07019, 1904-11-05T03:20:09.6Z, 63.516127, -37.260024, -0.000182063, 1.5188e-06, 1.53301e-06, 0.000182034,17441.615,15542.8131, 35268, 31627
a07020, 1904-11-05T03:33:07.2Z, 63.798512, -27.33337, -0.000182051, -6.35125e-07, -6.15659e-07, 0.000182055,16763.1937,14865.4004, 35268, 31627
a07021, 1904-11-05T03:53:16.8Z, 63.785582, -17.427134, -0.000182054, -1.3431e-08, -1.8499e-08, 0.000182032,16999.968,15476.5828, 35268, 31627
a07022, 1904-11-05T04:06:14.4Z, 63.714144, -7.441389, -0.000182064, 2.13097e-06, 2.12293e-06, 0.000182046,17869.9458,14698.1686, 35268, 31627
a07023, 1904-11-05T04:22:04.8Z, 63.925793, 2.526379, -0.000182061, -2.28062e-07, -2.51503e-07, 0.000182047,17281.7206,15557.5327, 35268, 31627
a07024, 1904-11-05T04:33:36Z, 63.929763, 12.532949, -0.000182051, 1.22524e-06, 1.19875e-06, 0.000182048,17467.3329,14828.4943, 35268, 31627
a07025, 1904-11-06T00:53:26.5Z, 6.616395, -67.158892, -0.00018196, -3.34326e-06, -3.29921e-06, 0.000181996,16990.1353,15065.606, 35268, 31627
a07026, 1904-11-08T03:04:19.2Z, 68.647831, -32.297339, -0.000182079, 1.32589e-06, 1.33294e-06, 0.000182035,16966.8371,15469.0448, 35268, 31627
a07027, 1904-11-08T03:17:16.8Z, 68.771432, -12.370099, -0.000182069, -1.18313e-06, -1.20102e-06, 0.000182037,17219.2803,14729.3459, 35268, 31627
a07028, 1904-11-08T03:34:33.6Z, 68.912432, -2.41189, -0.000182062, 2.294e-07, 2.05053e-07, 0.000182032,16775.542,15777.0611, 35268, 31627
a07029, 1904-11-08T03:47:31.2Z, 68.941407, 7.662256, -0.000182074, 3.3447e-08, -3.23e-10, 0.000182058,17082.6097,15010.7718, 35268, 31627
a07030, 1904-11-08T04:03:21.6Z, 49.094338, 32.836534, -0.000182049, -6.80598e-07, -7.09945e-07, 0.000182095,17277.648,15033.9387, 35268, 31627
a07031, 1904-11-08T04:16:19.2Z, 49.128445, 42.799852, -0.000182054, -1.37139e-06, -1.40236e-06, 0.000182154,17810.1569,15181.5135, 35268, 31627
a07032, 1904-11-08T04:27:50.4Z, 49.307237, 52.70619, -0.000182033, -4.57748e-07, -5.1435e-07, 0.000182281,17431.3972,15363.3735, 35268, 31627
a07033, 1904-11-09T02:08:54.4Z, 8.685899, -66.805298, -0.000181651, -7.58907e-06, -7.52917e-06, 0.000181883,12672.3707,16206.7427, 35268, 31627
