Object Type,Count
Star,1857
SB*,166
EclBin,27
EmLine*,60
YSO_Candidate,42
delSctV*,21
Mira,65
LongPeriodV*_Candidate,15
PulsV*,31
RedSG_Candidate,6
HighPM*,27
BlueStraggler,1
Supergiant,1
ClassicalCep,22
gammaDorV*,2
LongPeriodV*,9
**,18
PlanetaryNeb_Candidate,1
HotSubdwarf,3
C*,10
Type2Cep,2
WolfRayet*,1
WhiteDwarf,1
Be*,2
PlanetaryNeb,3
bCepV*_Candidate,1
RSCVnV*,1
bCepV*,3
RedSG,1
HighMassXBin,1
S*,2
YSO,1
HotSubdwarf_Candidate,1
