Object Type,Count
EclBin,7561
Star,2406
LongPeriodV*,1081
RRLyrae,475
EllipVar,336
delSctV*,241
Mira,114
Variable*,19
HighPM*,10
LongPeriodV*_Candidate,24
Type2Cep,4
SB*,7
PulsV*,2
ClassicalCep,2
PlanetaryNeb,4
BlueSG,1
RCrBV*,1
ChemPec*,1
**,2
Symbiotic*,1
