Object Type,Count
EclBin,442
PulsV*,67
Star,4771
BlueStraggler,1
LongPeriodV*_Candidate,73
SB*,167
Mira,60
LongPeriodV*,62
**,53
C*,24
delSctV*,73
ClassicalCep,39
RRLyrae,2
EmLine*,27
HighPM*,37
HotSubdwarf_Candidate,4
Type2Cep,3
S*,5
RVTauV*,2
C*_Candidate,2
PlanetaryNeb_Candidate,1
Variable*,2
PlanetaryNeb,4
YSO_Candidate,3
post-AGB*_Candidate,1
gammaDorV*,4
Be*,9
AGB*,2
RedSG,1
Symbiotic*,1
HighMassXBin,3
WolfRayet*,2
BlueSG,2
YellowSG,1
