Plate ID,Date,RA_CTR,DEC_CTR,Dec_delta_x,Dec_delta_y,RA_delta_x,RA_delta_y,crpix1,crpix2,naxis1,naxis2,Year,Cluster
a04238, 1900-03-20T01:13:26.4Z,88.689382,-57.885106, -0.000182012, 2.39427e-06, 2.33047e-06, 0.000181994,18339.1429,14708.1151, 35268, 31627,1900,-1
a04240, 1900-03-22T01:23:31.2Z,144.648691,-38.209033, -0.000181982, 6.64779e-07, 6.56414e-07, 0.000181979,17759.2711,14727.904, 35268, 31627,1900,-1
a04241, 1900-03-22T02:44:09.6Z,99.450218,-37.77948, -0.000182033, 1.26852e-06, 1.23322e-06, 0.000181979,17961.1318,14743.8664, 35268, 31627,1900,-1
a04242, 1900-03-22T03:53:16.8Z,134.664995,-38.076438, -0.000181977, 2.28824e-06, 2.25876e-06, 0.00018196,17740.1397,15418.9693, 35268, 31627,1900,-1
a04243, 1900-03-22T05:54:14.4Z,164.569957,-37.863733, -0.000182031, -1.66713e-06, -1.70055e-06, 0.000182014,18353.5258,15508.4906, 35268, 31627,1900,-1
a04244, 1900-03-22T06:25:55.2Z,174.8368,11.943957, -0.000182013, -6.58641e-07, -6.37658e-07, 0.000182003,18250.3955,15579.5091, 35268, 31627,1900,-1
a04245, 1900-03-22T06:50:24Z,184.682086,11.893442, -0.000181995, -2.9798e-06, -2.96441e-06, 0.000182,18844.757,15332.3269, 35268, 31627,1900,-1
a04246, 1900-03-22T07:23:31.2Z,199.755613,11.925088, -0.000182021, -1.3222e-06, -1.31221e-06, 0.00018202,18921.9573,15491.8094, 35268, 31627,1900,-1
a04247, 1900-03-22T07:52:19.2Z,209.721665,11.95084, -0.000182014, -1.85665e-06, -1.8555e-06, 0.000182017,18134.2301,15412.2661, 35268, 31627,1900,-1
a04248, 1900-03-27T02:45:36Z,142.784572,-57.677113, -0.000181875, -1.07461e-07, -3.25212e-07, 0.000181945,19157.5887,15366.4088, 35268, 31627,1900,-1
a04249, 1900-03-27T06:20:09.6Z,169.479931,-38.101138, -0.00018202, -1.42824e-06, -1.45983e-06, 0.000181988,17954.5661,15161.0526, 35268, 31627,1900,-1
a04250, 1900-03-27T08:09:36Z,189.487107,12.02653, -0.000182091, -5.08392e-07, -4.54032e-07, 0.000182042,19074.8083,16034.2277, 35268, 31627,1900,-1
a04251, 1900-03-27T08:36:57.6Z,199.377802,11.96954, -0.000182027, -2.77976e-06, -2.7426e-06, 0.000182009,18983.0878,14899.704, 35268, 31627,1900,-1
a04252, 1900-03-28T03:18:43.2Z,141.570296,-58.261159, -0.000182003, 8.8381e-07, 8.31273e-07, 0.000182017,17947.6656,14910.2066, 35268, 31627,1900,-1
a04253, 1900-03-29T00:51:50.4Z,88.666909,-12.770183, -0.000182014, 1.15969e-06, 1.16382e-06, 0.000181983,18592.7349,14924.6558, 35268, 31627,1900,-1
a04254, 1900-03-29T01:43:40.8Z,140.777563,-58.367678, -0.000181961, 1.95221e-06, 1.93072e-06, 0.000181981,18312.6858,14578.5399, 35268, 31627,1900,-1
a04255, 1900-03-29T03:02:52.8Z,133.435352,-58.211937, -0.000181982, 2.50011e-06, 2.44608e-06, 0.000181988,17558.7553,15210.3598, 35268, 31627,1900,-1
a04256, 1900-03-29T04:01:55.2Z,148.3884,-58.391539, -0.000182011, 1.84622e-06, 1.79237e-06, 0.000182014,18569.0521,14549.1294, 35268, 31627,1900,-1
a04257, 1900-03-30T02:00:57.6Z,133.621552,-58.208258, -0.000181972, 1.22847e-06, 1.19065e-06, 0.000181976,18297.9296,14335.989, 35268, 31627,1900,-1
a04258, 1900-03-30T08:26:52.8Z,199.00296,12.04225, -0.000182054, -4.18764e-07, -3.66789e-07, 0.000182018,18546.7228,15531.0074, 35268, 31627,1900,-1
a04259, 1900-03-31T02:13:55.2Z,118.601543,-57.945128, -0.000181997, 2.09933e-06, 2.0335e-06, 0.000181973,16837.1156,15207.2933, 35268, 31627,1900,-1
