Object Type,Count
Star,1711
EclBin,2802
LongPeriodV*,6538
RRLyrae,2534
ClassicalCep,170
EllipVar,76
AGN,36
PlanetaryNeb_Candidate,7
HighPM*,31
delSctV*,269
RedSG,67
Cluster*,26
Galaxy,11
**,7
C*,122
post-AGB*_Candidate,40
Supergiant,7
YSO,49
Type2Cep,20
OrionV*,8
EmLine*,124
Variable*,110
LongPeriodV*_Candidate,15
BlueSG,29
Cepheid,13
PlanetaryNeb,31
HighMassXBin_Candidate,1
Mira,37
WolfRayet*,23
SB*,16
QSO_Candidate,18
ISM,4
HotSubdwarf,1
YellowSG_Candidate,2
YSO_Candidate,11
OpenCluster,3
GlobCluster,1
Infrared,3
RVTauV*,4
HighMassXBin,2
HIIReg,2
YellowSG,5
EmObj,2
PulsV*,4
Association,2
RGB*,1
post-AGB*,1
AGB*,3
BlueSG_Candidate,3
WhiteDwarf,1
S*,1
WhiteDwarf_Candidate,1
NearIR,1
Be*_Candidate,24
ChemPec*,1
