Year,Cluster,RA_Center(degree),Dec_Center(degree),radius(arcsecond)
1891,NA,NA,NA,25200
1892,NA,NA,NA,25200
1893,NA,NA,NA,25200
1894,NA,NA,NA,25200
1895,NA,NA,NA,25200
1896,NA,NA,NA,25200
1897,NA,NA,NA,25200
1898,NA,NA,NA,25200
1899,NA,NA,NA,25200
1900,NA,NA,NA,25200
1901,NA,NA,NA,25200
1902,NA,NA,NA,25200
1903,NA,NA,NA,25200
1904,NA,NA,NA,25200
1905,NA,NA,NA,25200
1906,NA,NA,NA,25200
1907,NA,NA,NA,25200
1908,NA,NA,NA,25200
1909,NA,NA,NA,25200
1910,NA,NA,NA,25200
1911,NA,NA,NA,25200
1912,NA,NA,NA,25200
1913,NA,NA,NA,25200
1914,NA,NA,NA,25200
1915,NA,NA,NA,25200
1916,NA,NA,NA,25200
1917,NA,NA,NA,25200
1918,NA,NA,NA,25200
1919,NA,NA,NA,25200
1920,NA,NA,NA,25200
1921,NA,NA,NA,25200
1922,NA,NA,NA,25200
1923,NA,NA,NA,25200
1924,NA,NA,NA,25200
1925,0,116.73047571830986,-27.669665492957744,25200
1926,0,117.01680366037736,-28.468136245283024,25200
1927,NA,NA,NA,25200
1928,NA,NA,NA,25200
1929,NA,NA,NA,25200
1930,0,271.38021796774194,-33.271345370967744,25200
1931,0,148.17991358000003,-22.355559120000002,25200
1931,1,270.04322470512824,-34.548701621794876,25200
1932,NA,NA,NA,25200
1933,NA,NA,NA,25200
1934,0,80.69158381012659,-68.78006521518988,25200
1935,0,82.0921781346154,-68.60310611538462,25200
1936,NA,NA,NA,25200
1937,0,193.13509095714284,-62.272107042857144,25200
1938,NA,NA,NA,25200
1939,NA,NA,NA,25200
1940,0,13.015881553571429,-72.783312125,25200
1941,NA,NA,NA,25200
1942,NA,NA,NA,25200
1943,0,282.95089161842105,-7.174171118421054,25200
1944,0,81.877521220339,-68.22285493220339,25200
1945,0,79.32965469736843,-68.53989530263159,25200
1946,NA,NA,NA,25200
1947,NA,NA,NA,25200
1948,0,272.0500569642857,-32.787366750000004,25200
1948,1,13.228599800000005,-72.79902769090909,25200
1949,0,280.80180604838705,-10.211894370967741,25200
1950,0,169.77801039473684,-60.27884397368421,25200
1950,1,271.78126464285714,-31.795138541666667,25200
1950,2,257.4157462352941,15.046204,25200
1951,NA,NA,NA,25200
1952,NA,NA,NA,25200
1953,NA,NA,NA,25200
1954,NA,NA,NA,25200
1955,NA,NA,NA,25200
1956,NA,NA,NA,25200
1957,NA,NA,NA,25200
1958,NA,NA,NA,25200
1959,NA,NA,NA,25200
1960,NA,NA,NA,25200
1961,NA,NA,NA,25200
1962,NA,NA,NA,25200
1963,NA,NA,NA,25200
1964,NA,NA,NA,25200
1965,NA,NA,NA,25200
1966,NA,NA,NA,25200
1967,NA,NA,NA,25200
1968,NA,NA,NA,25200
1969,NA,NA,NA,25200
1970,NA,NA,NA,25200
1971,NA,NA,NA,25200
1972,NA,NA,NA,25200
1973,NA,NA,NA,25200
1974,NA,NA,NA,25200
1975,NA,NA,NA,25200
1976,NA,NA,NA,25200
1977,NA,NA,NA,25200
1978,NA,NA,NA,25200
1979,NA,NA,NA,25200
1980,NA,NA,NA,25200
1981,NA,NA,NA,25200
1982,NA,NA,NA,25200
1983,NA,NA,NA,25200
1984,NA,NA,NA,25200
1985,NA,NA,NA,25200
1986,NA,NA,NA,25200
1987,NA,NA,NA,25200
1988,NA,NA,NA,25200
1891,NA,NA,NA,25200
1892,NA,NA,NA,25200
1893,NA,NA,NA,25200
1894,NA,NA,NA,25200
1895,NA,NA,NA,25200
1896,NA,NA,NA,25200
1897,NA,NA,NA,25200
1898,NA,NA,NA,25200
1899,NA,NA,NA,25200
1900,NA,NA,NA,25200
1901,NA,NA,NA,25200
1902,NA,NA,NA,25200
1903,NA,NA,NA,25200
1904,NA,NA,NA,25200
1905,NA,NA,NA,25200
1906,NA,NA,NA,25200
1907,NA,NA,NA,25200
1908,NA,NA,NA,25200
1909,NA,NA,NA,25200
1910,NA,NA,NA,25200
1911,NA,NA,NA,25200
1912,NA,NA,NA,25200
1913,NA,NA,NA,25200
1914,NA,NA,NA,25200
1915,NA,NA,NA,25200
1916,NA,NA,NA,25200
1917,NA,NA,NA,25200
1918,NA,NA,NA,25200
1919,NA,NA,NA,25200
1920,NA,NA,NA,25200
1921,NA,NA,NA,25200
1922,NA,NA,NA,25200
1923,NA,NA,NA,25200
1924,NA,NA,NA,25200
1925,0,116.73047571830986,-27.669665492957744,25200
1926,0,117.01680366037736,-28.468136245283024,25200
1927,NA,NA,NA,25200
1928,NA,NA,NA,25200
1929,NA,NA,NA,25200
1930,0,271.38021796774194,-33.271345370967744,25200
1931,0,148.17991358000003,-22.355559120000002,25200
1931,1,270.04322470512824,-34.548701621794876,25200
1932,NA,NA,NA,25200
1933,NA,NA,NA,25200
1934,0,80.69158381012659,-68.78006521518988,25200
1935,0,82.0921781346154,-68.60310611538462,25200
1936,NA,NA,NA,25200
1937,0,193.13509095714284,-62.272107042857144,25200
1938,NA,NA,NA,25200
1939,NA,NA,NA,25200
1940,0,13.015881553571429,-72.783312125,25200
1941,NA,NA,NA,25200
1942,NA,NA,NA,25200
1943,0,282.95089161842105,-7.174171118421054,25200
1944,0,81.877521220339,-68.22285493220339,25200
1945,0,79.32965469736843,-68.53989530263159,25200
1946,NA,NA,NA,25200
1947,NA,NA,NA,25200
1948,0,272.0500569642857,-32.787366750000004,25200
1948,1,13.228599800000005,-72.79902769090909,25200
1949,0,280.80180604838705,-10.211894370967741,25200
1891,NA,NA,NA,25200
1892,NA,NA,NA,25200
1893,NA,NA,NA,25200
1894,NA,NA,NA,25200
1895,NA,NA,NA,25200
1896,NA,NA,NA,25200
1897,NA,NA,NA,25200
1898,NA,NA,NA,25200
1899,NA,NA,NA,25200
1900,NA,NA,NA,25200
1901,NA,NA,NA,25200
1902,NA,NA,NA,25200
1903,NA,NA,NA,25200
1904,NA,NA,NA,25200
1905,NA,NA,NA,25200
1906,NA,NA,NA,25200
1907,NA,NA,NA,25200
1908,NA,NA,NA,25200
1909,NA,NA,NA,25200
1910,NA,NA,NA,25200
1911,NA,NA,NA,25200
1912,NA,NA,NA,25200
1913,NA,NA,NA,25200
1914,NA,NA,NA,25200
1915,NA,NA,NA,25200
1916,NA,NA,NA,25200
1917,NA,NA,NA,25200
1918,NA,NA,NA,25200
1919,NA,NA,NA,25200
1920,NA,NA,NA,25200
1921,NA,NA,NA,25200
1922,NA,NA,NA,25200
1923,NA,NA,NA,25200
1924,NA,NA,NA,25200
1925,0,116.73047571830986,-27.669665492957744,25200
1926,0,117.01680366037736,-28.468136245283024,25200
1927,NA,NA,NA,25200
1928,NA,NA,NA,25200
1929,NA,NA,NA,25200
1930,0,271.38021796774194,-33.271345370967744,25200
1931,0,148.17991358000003,-22.355559120000002,25200
1931,1,270.04322470512824,-34.548701621794876,25200
1932,NA,NA,NA,25200
1933,NA,NA,NA,25200
1934,0,80.69158381012659,-68.78006521518988,25200
1935,0,82.0921781346154,-68.60310611538462,25200
1936,NA,NA,NA,25200
1937,0,193.13509095714284,-62.272107042857144,25200
1938,NA,NA,NA,25200
1939,NA,NA,NA,25200
