Object Type,Count
EclBin,443
Star,4817
ClassicalCep,36
delSctV*,79
PulsV*,70
SB*,172
HotSubdwarf_Candidate,4
C*,25
LongPeriodV*_Candidate,77
Mira,62
**,54
Type2Cep,3
LongPeriodV*,69
RVTauV*,2
EmLine*,24
BlueStraggler,1
RRLyrae,2
HighPM*,38
PlanetaryNeb,4
C*_Candidate,2
YSO_Candidate,5
S*,3
AGB*,2
PlanetaryNeb_Candidate,1
post-AGB*_Candidate,1
Variable*,2
Symbiotic*,1
Be*,9
gammaDorV*,4
HighMassXBin,2
RedSG,1
WolfRayet*,1
BlueSG,1
