Object Type,Count
Star,2537
EclBin,7581
EllipVar,319
delSctV*,222
RRLyrae,476
Mira,110
LongPeriodV*,615
LongPeriodV*_Candidate,24
Variable*,19
ClassicalCep,3
HighPM*,10
BlueSG,1
SB*,6
Type2Cep,4
PulsV*,1
**,1
Symbiotic*,1
PlanetaryNeb_Candidate,1
PlanetaryNeb,1
