Year,Cluster,RA_Center(degree),Dec_Center(degree),radius(arcsecond)
1891,NA,NA,NA,18000
1892,NA,NA,NA,18000
1893,0,55.94237329411766,21.617991352941175,18000
1894,NA,NA,NA,18000
1895,NA,NA,NA,18000
1896,0,229.557962631579,2.178186105263158,18000
1896,1,205.7961564117647,27.933650294117648,18000
1897,NA,NA,NA,18000
1898,NA,NA,NA,18000
1899,0,15.916862875,-70.21625275,18000
1900,0,272.06759962068963,-23.089889931034477,18000
1900,1,41.04214204761904,42.8678989047619,18000
1901,0,155.29589937931033,-8.05170603448276,18000
1901,2,271.2499895625,-43.111686625000004,18000
1901,1,167.26864090909092,-10.477303000000001,18000
1902,NA,NA,NA,18000
1903,0,270.1784732888889,-43.11825244444445,18000
1904,0,322.3118606176471,-15.888228764705884,18000
1905,0,332.94214700000003,-12.651505199999999,18000
1906,NA,NA,NA,18000
1907,NA,NA,NA,18000
1908,NA,NA,NA,18000
1909,NA,NA,NA,18000
1910,NA,NA,NA,18000
1911,0,250.8321257333333,-52.80086646666667,18000
1912,NA,NA,NA,18000
1913,NA,NA,NA,18000
1914,NA,NA,NA,18000
1915,1,160.77707360000002,-59.12441826666666,18000
1915,0,244.0850067142857,-24.006036857142856,18000
1916,0,221.78391766666667,-44.94007977777778,18000
1917,NA,NA,NA,18000
1918,NA,NA,NA,18000
1919,NA,NA,NA,18000
1920,NA,NA,NA,18000
1921,NA,NA,NA,18000
1922,0,154.5277912333333,-46.35682953333333,18000
1922,1,204.3297620909091,-48.894495636363644,18000
1922,2,245.73895259999998,-25.017671720000003,18000
1922,3,284.9745612941176,-13.372969058823529,18000
1922,4,262.70554886206895,-67.22529741379311,18000
1922,5,12.292246727272728,-71.93474495454545,18000
1923,0,81.64257437500001,-69.0833954375,18000
1923,1,138.67426616666668,-64.77655703333333,18000
1923,2,192.87642722222222,-71.29096044444445,18000
1923,3,81.10646962962964,-24.817227407407405,18000
1923,4,277.200249675,-25.128966025,18000
1923,5,236.62772900000004,-37.60186276190476,18000
1923,6,264.5502992,-53.95351428000001,18000
1923,7,245.52513120000006,-24.459900822222224,18000
1923,8,295.21771838709685,-30.891212741935483,18000
1923,9,324.8688865625,-23.31157553125,18000
1923,10,285.06610553125,-36.629519093750005,18000
1923,11,286.0684848666667,14.816869133333334,18000
1924,0,285.272094195122,-13.418394634146342,18000
1925,0,117.4121751875,-28.6321276,18000
1925,1,148.93001850000002,-55.362300749999996,18000
1925,2,158.5428521904762,-57.69045738095238,18000
1925,3,294.49124482857144,-30.887799857142852,18000
1925,4,99.1508274347826,-61.85477500000001,18000
1925,5,13.62428925,-72.51044420000002,18000
1925,6,325.5800736666667,-22.734139000000006,18000
1926,0,118.2489548030303,-29.926700606060603,18000
1926,1,156.62906575,-56.58917180000001,18000
1926,2,312.67668573333333,-53.30287513333334,18000
1926,3,256.0015378333334,-28.37626472222222,18000
1926,4,265.85347505,-26.5710917,18000
1926,5,167.60547746666666,-62.3490273,18000
1927,NA,NA,NA,18000
1928,NA,NA,NA,18000
1929,NA,NA,NA,18000
1930,0,80.97104436842106,-68.39469078947369,18000
1930,1,271.27551851612907,-33.072506241935486,18000
1930,2,264.5604554827586,-42.88391737931035,18000
1930,3,13.712802533333333,-72.57277199999999,18000
1931,0,13.469598535714283,-72.75152557142857,18000
1931,1,81.69611578125,-68.83819865625,18000
1931,2,157.88348899999997,4.617737611111111,18000
1931,3,148.66419283928573,-21.408751357142858,18000
1931,5,257.300642475,-25.191227724999997,18000
1931,4,273.3038041470588,-30.450464323529413,18000
1931,6,264.2890337777778,-39.90097459259259,18000
1931,7,262.73722168,-45.75740556000001,18000
1932,NA,NA,NA,18000
1933,0,81.953561625,-68.42754333333333,18000
1934,0,80.86060512987011,-68.66609993506493,18000
1934,1,207.18844320000002,-61.513768600000006,18000
1934,2,215.69848293333334,-51.626359066666666,18000
1934,3,13.72050280769231,-73.06540565384617,18000
1935,0,81.81748949122807,-68.72637450877193,18000
1935,2,255.92069684210526,14.662692842105265,18000
1935,4,274.7924775714286,-27.89499242857143,18000
1935,1,242.04977035294118,-60.72604188235294,18000
1935,3,286.0917689473684,15.025074578947367,18000
1935,5,315.7405626470588,14.68016717647059,18000
