Object Type,Count
C*,22
Star,6452
Variable*,218
SB*,510
EclBin_Candidate,22
HighPM*,74
EmLine*,46
**,128
LongPeriodV*,38
delSctV*,67
PulsV*,134
EclBin,303
LongPeriodV*_Candidate,29
S*,3
HotSubdwarf_Candidate,12
ClassicalCep,24
YSO_Candidate,4
gammaDorV*,21
Mira,12
RefNeb,1
HighVel*,2
Nova,1
RRLyrae,6
OH/IR*,1
Blend,2
ChemPec*,2
Be*,2
HotSubdwarf,1
Type2Cep,1
PlanetaryNeb,1
YSO,57
OpenCluster,1
AGB*_Candidate,1
Galaxy,1
RRLyrae_Candidate,2
RedSG,1
HighMassXBin,1
