Year,Cluster,RA_Center(degree),Dec_Center(degree),radius(arcsecond)
1891,NA,NA,NA,18000
1892,NA,NA,NA,18000
1893,NA,NA,NA,18000
1894,NA,NA,NA,18000
1895,NA,NA,NA,18000
1896,NA,NA,NA,18000
1897,NA,NA,NA,18000
1898,NA,NA,NA,18000
1899,NA,NA,NA,18000
1900,NA,NA,NA,18000
1901,NA,NA,NA,18000
1902,NA,NA,NA,18000
1903,NA,NA,NA,18000
1904,NA,NA,NA,18000
1905,NA,NA,NA,18000
1906,NA,NA,NA,18000
1907,NA,NA,NA,18000
1908,NA,NA,NA,18000
1909,NA,NA,NA,18000
1910,NA,NA,NA,18000
1911,NA,NA,NA,18000
1912,NA,NA,NA,18000
1913,NA,NA,NA,18000
1914,NA,NA,NA,18000
1915,NA,NA,NA,18000
1916,NA,NA,NA,18000
1917,NA,NA,NA,18000
1918,NA,NA,NA,18000
1919,NA,NA,NA,18000
1920,NA,NA,NA,18000
1921,NA,NA,NA,18000
1922,NA,NA,NA,18000
1923,NA,NA,NA,18000
1924,NA,NA,NA,18000
1925,0,115.92633636666665,-26.517268816666668,18000
1926,NA,NA,NA,18000
1927,NA,NA,NA,18000
1928,NA,NA,NA,18000
1929,NA,NA,NA,18000
1930,NA,NA,NA,18000
1931,0,272.58718078431366,-30.155019156862746,18000
1932,NA,NA,NA,18000
1933,NA,NA,NA,18000
1934,0,81.04500098648649,-68.6071580810811,18000
1935,NA,NA,NA,18000
1936,NA,NA,NA,18000
1937,0,192.6386939848485,-62.35116484848485,18000
1938,NA,NA,NA,18000
1939,NA,NA,NA,18000
1940,0,13.408410735849056,-72.68725992452829,18000
1941,NA,NA,NA,18000
1942,NA,NA,NA,18000
1943,0,282.98532637333335,-7.2686500133333345,18000
1944,NA,NA,NA,18000
1945,NA,NA,NA,18000
1946,NA,NA,NA,18000
1947,NA,NA,NA,18000
1948,0,272.0500569642857,-32.787366750000004,18000
1948,1,13.228599800000005,-72.79902769090909,18000
1949,NA,NA,NA,18000
1950,0,172.65004626785716,-60.51017078571429,18000
1950,1,271.78126464285714,-31.795138541666667,18000
1950,2,257.4157462352941,15.046204,18000
1951,NA,NA,NA,18000
1952,NA,NA,NA,18000
1953,NA,NA,NA,18000
1954,NA,NA,NA,18000
1955,NA,NA,NA,18000
1956,NA,NA,NA,18000
1957,NA,NA,NA,18000
1958,NA,NA,NA,18000
1959,NA,NA,NA,18000
1960,NA,NA,NA,18000
1961,NA,NA,NA,18000
1962,NA,NA,NA,18000
1963,NA,NA,NA,18000
1964,NA,NA,NA,18000
1965,NA,NA,NA,18000
1966,NA,NA,NA,18000
1967,NA,NA,NA,18000
1968,NA,NA,NA,18000
1969,NA,NA,NA,18000
1970,NA,NA,NA,18000
1971,NA,NA,NA,18000
1972,NA,NA,NA,18000
1973,NA,NA,NA,18000
1974,NA,NA,NA,18000
1975,NA,NA,NA,18000
1976,NA,NA,NA,18000
1977,NA,NA,NA,18000
1978,NA,NA,NA,18000
1979,NA,NA,NA,18000
1980,NA,NA,NA,18000
1981,NA,NA,NA,18000
1982,NA,NA,NA,18000
1983,NA,NA,NA,18000
1984,NA,NA,NA,18000
1985,NA,NA,NA,18000
1986,NA,NA,NA,18000
1987,NA,NA,NA,18000
1988,NA,NA,NA,18000
1891,NA,NA,NA,18000
1892,NA,NA,NA,18000
1893,NA,NA,NA,18000
1894,NA,NA,NA,18000
1895,NA,NA,NA,18000
1896,NA,NA,NA,18000
1897,NA,NA,NA,18000
1898,NA,NA,NA,18000
1899,NA,NA,NA,18000
1900,NA,NA,NA,18000
1901,NA,NA,NA,18000
1902,NA,NA,NA,18000
1903,NA,NA,NA,18000
1904,NA,NA,NA,18000
1905,NA,NA,NA,18000
1906,NA,NA,NA,18000
1907,NA,NA,NA,18000
1908,NA,NA,NA,18000
1909,NA,NA,NA,18000
1910,NA,NA,NA,18000
1911,NA,NA,NA,18000
1912,NA,NA,NA,18000
1913,NA,NA,NA,18000
1914,NA,NA,NA,18000
1915,NA,NA,NA,18000
1916,NA,NA,NA,18000
1917,NA,NA,NA,18000
1918,NA,NA,NA,18000
1919,NA,NA,NA,18000
1920,NA,NA,NA,18000
1921,NA,NA,NA,18000
1922,NA,NA,NA,18000
