Plate ID, Date, Author, Notebook
a13996, 1926-09-17T02:06:43.2Z, None, None
a08347, None, ['Williamina Fleming', 'Annie Jump Cannon'], ['phaedra0899']
a16277, 1932-10-08T23:21:07.2Z, None, None
a05869, 1902-05-16T23:58:33.6Z, None, None
a02477, None, None, None
a05262, 1901-05-29T07:30:43.2Z, ['Williamina Fleming'], ['phaedra0859']
a17358, 1935-02-10T18:34:45.4Z, None, None
a10570, None, None, None
a13963, 1926-08-11T01:45:07.2Z, None, None
a11356, 1915-08-20T03:17:40.1Z, None, None
a17440, 1935-03-28T19:16:19.2Z, ['Jacqueline Sweeney Kloss', 'Harlow Shapley', 'A. Hearn'], ['phaedra2504']
a18734, 1936-08-06T23:39:50.4Z, None, None
a01123, 1894-10-19T05:03:50.4Z, None, None
a18086, 1935-11-11T00:12:30.3Z, None, None
a08705, None, None, None
a04554, None, None, None
a05987, 1902-06-26T03:27:21.6Z, None, None
a07360, 1905-06-25T08:51:21.6Z, None, None
a11990, 1922-05-21T03:08:38.4Z, ['Frances Woodworth Wright'], ['phaedra2460']
a14451, 1930-01-05T01:53:45.6Z, ['Adelaide Ames'], ['phaedra2320']
a18942, 1936-09-23T00:04:19.2Z, None, None
a19042, 1936-12-21T00:05:45.6Z, None, None
a05500, None, None, None
a02836, 1897-10-19T04:14:52.8Z, ['Sarah E. Breslin', 'Emily Hughes Boyce'], ['phaedra0742', 'phaedra0741', 'phaedra2615']
a17635, 1935-06-11T16:49:26.4Z, None, None
a07499, 1905-09-23T03:33:56.1Z, ['Muriel E. Mussells Seyfert', 'Adelaide Ames'], ['phaedra2330', 'phaedra2320']
a01059, 1894-10-12T08:05:16.8Z, ['Williamina Fleming', 'Virginia McKibben Nail'], ['phaedra0859', 'phaedra2441']
a19708, 1937-08-24T18:37:26.4Z, None, None
a00697, None, None, None
a12261, 1922-11-02T00:59:02.4Z, ['Virginia McKibben Nail'], ['phaedra2441']
a03311, 1898-09-17T04:13:26.4Z, ['Sarah E. Breslin'], ['phaedra0731', 'phaedra0712']
a17127, 1934-09-04T19:03:21.6Z, None, None
a18111, 1935-11-18T19:46:41.5Z, None, None
a17834, 1935-07-23T02:31:12Z, None, None
a02268, 1897-05-11T01:03:21.6Z, ['Sarah E. Breslin', 'Ida E. Woods', 'Henrietta Swan Leavitt'], ['phaedra0709', 'phaedra1211', 'phaedra0961', 'phaedra0946']
a12807, 1923-10-26T23:52:48Z, None, None
a12684, 1923-09-15T03:23:02.4Z, ['Ida E. Woods'], ['phaedra1222', 'phaedra1219']
a19347, 1937-05-03T02:54:14.4Z, None, None
a05494, 1901-07-28T01:42:14.4Z, None, None
a19943, 1938-02-11T01:01:55.2Z, None, None
a12191, 1922-09-18T01:35:02.4Z, None, None
a17924, 1935-08-21T01:09:07.2Z, None, None
a06547, 1903-09-05T08:19:40.8Z, None, None
a14668, 1930-04-16T17:16:48Z, None, None
a05759, 1902-01-08T03:44:38.4Z, None, None
a02590, None, None, None
a06452, 1903-07-16T01:23:31.2Z, ['Adelaide Ames'], ['phaedra2320']
a13930, 1926-07-31T03:01:26.4Z, None, None
a07725, 1906-06-14T05:47:02.4Z, None, None
a17190, 1934-10-04T21:34:33.6Z, ['Virginia McKibben Nail', 'Mary R. Hunt'], ['phaedra2441', 'phaedra2439', 'phaedra2440']
a12587, 1923-08-15T23:48:28.8Z, ['Ida E. Woods'], ['phaedra1224']
a04608, 1900-08-25T04:52:19.2Z, ['Henrietta Swan Leavitt', 'Evelyn F. Leland', 'Dorrit Hoffleit'], ['phaedra2519', 'phaedra0975', 'phaedra2533']
a02333, 1897-05-28T03:08:38.4Z, None, None
a10598, 1912-08-17T00:28:48Z, None, None
a11287, 1915-07-12T13:58:04.8Z, None, None
a12254, None, ['Virginia McKibben Nail'], ['phaedra2441']
a09896, 1909-10-23T02:57:07.2Z, None, None
a14756, 1930-06-03T18:56:09.6Z, None, None
a08583, 1908-04-08T23:55:40.8Z, None, None
a09012, 1908-08-15T00:59:02.4Z, ['Adelaide Ames'], ['phaedra2321']
a14226, 1929-09-09T02:22:33.6Z, None, None
a15731, 1931-09-08T17:12:28.8Z, None, None
a11023, 1914-08-23T01:37:55.2Z, None, None
a06001, 1902-07-03T00:28:48Z, None, None
a00489, 1894-03-31T02:36:57.6Z, None, None
a10056, 1910-05-04T06:30:14.4Z, ['Adelaide Ames'], ['phaedra2319']
a03892, None, None, None
a16345, 1933-01-24T20:02:24Z, None, None
a05547, 1901-08-15T00:27:21.6Z, None, None
a13288, 1925-05-30T23:06:57.2Z, ['Ida E. Woods'], ['phaedra1211']
a17991, 1935-09-19T20:28:19.2Z, None, None
a17663, 1935-06-16T20:13:43.2Z, None, None
a00387, 1894-03-17T06:33:07.2Z, ['Williamina Fleming'], ['phaedra0806']
a19317, 1937-04-23T17:04:06.3Z, None, None
a14235, 1929-09-13T20:36:57.6Z, ['Adelaide Ames'], ['phaedra2320']
a05713, 1901-10-11T03:33:07.2Z, ['Sarah E. Breslin'], ['phaedra0741']
a10828, 1913-11-29T07:14:52.8Z, ['Mary L. Miller', 'Mary Applegate', 'Cecilia Payne-Gaposchkin'], ['phaedra1131', 'phaedra0695', 'phaedra0697']
a11004, 1914-08-21T01:52:19.2Z, ['Grace R. Brooks'], ['phaedra0745']
a07216, 1905-03-12T03:37:26.4Z, None, None
a06144, None, None, None
a02373, 1897-06-02T02:00:57.6Z, None, None
a15320, None, None, None
a00526, 1894-04-18T00:41:45.6Z, None, None
a01659, 1895-09-13T02:34:04.8Z, ['Sarah E. Breslin'], ['phaedra0741']
a05883, 1902-05-18T01:10:33.6Z, None, None
a16042, 1932-05-06T21:38:52.8Z, None, None
a07495, 1905-09-20T00:57:36Z, ['Ida E. Woods'], ['phaedra1198']
a15154, None, None, None
a01947, 1896-07-22T01:53:45.6Z, None, None
a15737, 1931-09-08T23:31:12Z, None, None
a12360, 1923-05-05T01:33:36Z, None, None
a01707, 1895-09-21T02:24:00Z, None, None
a19144, 1937-03-03T19:24:57.6Z, ['Jacqueline Sweeney Kloss', 'Harlow Shapley', 'A. Hearn'], ['phaedra2504']
a07805, 1906-07-10T06:34:33.6Z, None, None
a06116, 1902-08-23T01:33:36Z, None, None
a05815, 1902-04-19T04:40:48Z, None, None
a15142, 1931-02-03T00:00:00Z, None, None
a04674, 1900-09-05T07:22:04.8Z, None, None
a19032, 1936-12-18T19:26:24Z, None, None
a05628, None, None, None
a07293, None, None, None
a03644, None, ['Sarah E. Breslin'], ['phaedra0720']
a17149, 1934-09-13T20:42:43.2Z, ['Virginia McKibben Nail', 'Mary R. Hunt', 'Alice Swain Carlston', 'A. F. Swain'], ['phaedra2432', 'phaedra2440', 'phaedra2434']
a02645, 1897-08-17T01:09:07.2Z, ['Williamina Fleming', 'Virginia McKibben Nail', 'Sarah E. Breslin', 'Jenka Mohr', 'Frances Woodworth Wright'], ['phaedra0816', 'phaedra2439', 'phaedra0719', 'phaedra0714', 'phaedra0710', 'phaedra2608']
a00800, 1894-08-18T01:37:55.2Z, None, None
a09193, 1909-05-08T00:38:52.8Z, None, None
a07358, 1905-06-25T06:08:38.4Z, ['Ida E. Woods'], ['phaedra1210', 'phaedra1212', 'phaedra1207']
a09361, 1909-06-13T03:37:26.4Z, ['Adelaide Ames'], ['phaedra2319']
a18748, 1936-08-07T22:23:31.2Z, None, None
a15110, 1931-01-21T20:26:52.8Z, None, None
a00948, 1894-10-02T04:17:45.6Z, ['Frances Woodworth Wright'], ['phaedra2459']
a00694, 1894-06-22T02:44:09.6Z, ['Sarah E. Breslin', 'Ida E. Woods', 'Adelaide Ames'], ['phaedra0731', 'phaedra1204', 'phaedra2321']
a09796, None, ['Williamina Fleming', 'Annie Jump Cannon'], ['phaedra0899']
a03543, 1899-05-23T03:01:26.4Z, None, None
a09170, None, None, None
a14494, 1930-01-21T20:24:00Z, ['Adelaide Ames'], ['phaedra2319']
a17570, 1935-05-22T21:01:26.4Z, None, None
a19067, 1937-01-29T22:22:24.5Z, None, None
a12146, None, None, None
a11193, 1915-05-07T02:16:48Z, None, None
a00070, 1893-12-03T02:16:48Z, ['Virginia McKibben Nail', 'Martha Dowse Ashbrook', 'Frances Woodworth Wright', 'Dorrit Hoffleit', 'Cecilia Payne-Gaposchkin', 'A. Hearn', 'Adelaide Ames'], ['phaedra2435', 'phaedra2436', 'phaedra2536', 'phaedra2317', 'phaedra2322']
a16267, 1932-10-03T18:40:19.2Z, None, None
a08343, None, ['Williamina Fleming', 'Annie Jump Cannon'], ['phaedra0901', 'phaedra0818', 'phaedra2111']
a01961, 1896-07-31T04:35:02.4Z, None, None
a15521, 1931-07-16T18:04:19.2Z, ['Frances Woodworth Wright'], ['phaedra2404']
a06045, 1902-07-31T02:39:50.4Z, None, None
a05761, 1902-01-14T02:39:50.4Z, None, None
