Plate ID, Date, RA_CTR, DEC_CTR, Dec_delta_x,Dec_delta_y, RA_delta_x, RA_delta_y, crpix1,crpix2, naxis1, naxis2 
a14037, 1926-09-09T01:58:04.8Z, 270.401579, -23.041379, -0.00018195, -2.94477e-06, -2.94705e-06, 0.000181904,17745.7938,15395.1229, 35268, 31627
a14038, 1926-09-11T00:59:02.4Z, 249.813395, -44.744108, -0.000181971, -3.45917e-06, -3.49267e-06, 0.000181927,18268.5204,15292.9879, 35268, 31627
a14039, 1926-09-11T01:45:07.2Z, 288.91093, 4.296686, -0.000181935, -3.41793e-06, -3.41403e-06, 0.000181923,17852.1511,15362.869, 35268, 31627
a14040, 1926-09-11T02:32:38.4Z, 284.62584, 17.697201, -0.000181968, -3.40558e-06, -3.36906e-06, 0.000181957,17666.4494,15708.9499, 35268, 31627
a14041, 1926-09-11T03:14:24Z, 300.243915, -8.715546, -0.000181956, -3.20457e-06, -3.20157e-06, 0.000181934,18095.0581,15475.3863, 35268, 31627
a14042, 1926-09-14T05:19:40.8Z, 13.411421, -72.785161, -0.000181983, -1.26403e-06, -1.2289e-06, 0.000182054,17789.3025,15307.016, 35268, 31627
a14043, 1926-09-14T06:46:04.8Z, 64.074009, 19.370809, -0.000182044, 9.4814e-08, -1.2e-11, 0.000182006,18212.1137,15217.423, 35268, 31627
a14044, 1926-09-14T08:02:24Z, 70.162498, 19.393767, -0.000182013, -1.07086e-06, -1.11687e-06, 0.000182003,17805.9234,15690.8014, 35268, 31627
a14045, 1926-09-14T09:02:52.8Z, 116.46806, -24.602773, -0.000182104, 4.07015e-06, 4.04969e-06, 0.000182024,13981.5726,12892.535, 22041, 17410
a14046, 1926-09-14T09:30:14.4Z, 114.641507, -26.151186, -0.000182103, 1.143e-06, 1.14315e-06, 0.000182044,9798.9997,7529.1323, 22041, 17371
a14047, NA, NA, NA, NA, NA, NA, NA,NA,NA, NA, NA
a14048, 1926-09-29T01:39:21.6Z, 265.839687, -26.348078, -0.000182006, -2.33846e-06, -2.34173e-06, 0.000181931,18634.2757,15235.1995, 35268, 31627
a14049, 1926-09-29T02:26:52.8Z, 270.723147, -3.055123, -0.000182069, -2.89472e-06, -2.8279e-06, 0.000181936,18232.3744,15759.256, 35268, 31627
a14050, 1926-09-29T03:15:50.4Z, 288.8952, 4.324626, -0.000182019, -3.45383e-06, -3.38611e-06, 0.00018193,18215.9101,15655.9154, 35268, 31627
a14051, 1926-09-29T04:22:04.8Z, 13.962555, -72.903971, -0.00018194, -1.54279e-06, -1.55238e-06, 0.000182007,15796.636,14649.2427, 35268, 31627
a14052, 1926-09-30T00:12:57.6Z, 258.391984, -29.664669, -0.000181989, -3.60712e-06, -3.64455e-06, 0.000181964,12271.5435,8143.1138, 22041, 17410
a14053, 1926-09-30T23:58:33.6Z, 258.899346, -29.302644, -0.000181962, -5.24596e-06, -5.27072e-06, 0.000181924,10360.3866,10052.1127, 22041, 17371
a14054, 1926-10-01T01:22:04.8Z, 258.895215, -30.02879, -0.00018209, -2.47866e-06, -2.47548e-06, 0.000182001,9788.6874,6176.7007, 22041, 17371
a14055, 1926-10-01T02:02:24Z, 266.370443, -37.713479, -0.000182125, -4.97821e-07, -5.77022e-07, 0.000182025,15585.8585,5025.922, 22041, 17410
a14056, 1926-10-01T02:45:36Z, 284.155182, -30.38454, -0.000182031, -2.57393e-06, -2.58643e-06, 0.000181952,9004.7368,9732.2878, 22041, 17371
a14057, 1926-10-01T03:41:45.6Z, 323.314978, -1.236932, -0.000181979, 1.3611e-06, 1.36796e-06, 0.000181966,11111.7542,7559.3157, 22041, 17371
a14058, 1926-10-01T04:39:21.6Z, 47.566771, -55.646149, -0.00018206, 2.32565e-06, 2.32725e-06, 0.000182047,12390.3745,6733.724, 22041, 17410
a14059, 1926-10-01T23:58:33.6Z, 258.80614, -27.968899, -0.000182, -1.00489e-06, -1.01293e-06, 0.000181971,12429.6204,10799.9504, 22041, 17371
a14060, 1926-10-02T00:40:19.2Z, 260.732601, -19.51959, -0.00018201, -3.76865e-06, -3.80807e-06, 0.000181945,8796.1578,9027.4455, 22041, 17410
a14061, 1926-10-02T01:37:55.2Z, 270.891536, -9.246309, -0.000182047, -1.00317e-06, -1.0262e-06, 0.000181981,8384.5327,6948.3309, 22041, 17371
a14062, 1926-10-02T02:47:02.4Z, 325.031762, -23.291666, -0.000181974, -8.34896e-07, -8.94339e-07, 0.000181998,11654.641,8227.9074, 22041, 17410
a14063, 1926-10-02T03:41:45.6Z, 294.626869, -30.857615, -0.000182056, -2.58886e-06, -2.58453e-06, 0.000181965,10498.9008,8640.7605, 22041, 17371
a14064, 1926-10-02T04:36:28.8Z, 11.068049, 40.676371, -0.000182052, -2.59072e-06, -2.99894e-06, 0.000181841,9056.0836,6231.5346, 22041, 17410
a14065, 1926-10-02T23:58:33.6Z, 288.2642, 31.161025, -0.000181899, -6.72881e-06, -6.59064e-06, 0.000181883,15330.9153,15265.9715, 22041, 17371
a14066, 1926-10-03T00:41:45.6Z, 260.524847, -17.838801, -0.000182025, -4.76683e-07, -5.19415e-07, 0.000181968,13345.7379,9091.1682, 22041, 17410
a14067, 1926-10-03T01:39:21.6Z, 271.545138, -7.445044, -0.000182055, -2.68503e-07, -2.83552e-07, 0.000181981,9173.5258,9657.9233, 22041, 17410
a14068, 1926-10-03T02:48:28.8Z, 294.401884, -31.334681, -0.000182015, -3.46233e-06, -3.47945e-06, 0.000181977,12168.6625,6259.0764, 22041, 17371
a14069, 1926-10-03T03:48:57.6Z, 324.798142, -22.180022, -0.000182047, -9.40197e-07, -9.71751e-07, 0.000182063,12504.8326,14624.7392, 22041, 17410
a14070, 1926-10-06T00:05:45.6Z, 265.998881, -3.736091, -0.000182012, -3.35614e-06, -3.3504e-06, 0.000181978,12589.111,6419.5086, 22041, 17371
a14071, 1926-10-06T00:46:04.8Z, 260.776173, -26.651484, -0.00018204, -1.51771e-06, -1.54744e-06, 0.000181977,12128.0929,7751.9748, 22041, 17410
a14072, 1926-10-06T01:49:26.4Z, 294.781336, -30.936723, -0.000182018, -2.39537e-06, -2.41537e-06, 0.000181995,10138.4583,8446.3693, 22041, 17371
a14073, 1926-10-09T23:55:40.8Z, 261.9106, -5.32889, -0.000182021, -2.82516e-06, -2.81112e-06, 0.000181988,10937.6367,7061.6621, 22041, 17371
