RA (deg),Dec (deg),radius,Object Name,Object Type,Flux
271.80035981437123,-31.830005359281447,10800,OGLE BLG-LPV-258349,Mira,18.082
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ECL-315343,EclBin,20.1
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ECL-316230,EclBin,19.689
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ECL-315015,EclBin,20.146
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ELL-20302,EllipVar,15.705
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ECL-315716,EclBin,19.012
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ECL-315448,EclBin,18.107
271.80035981437123,-31.830005359281447,10800,OGLE BLG-RRLYR-13755,RRLyrae,16.435
271.80035981437123,-31.830005359281447,10800,TYC 7391-1586-1,Star,12.23
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ECL-316717,EclBin,19.239
271.80035981437123,-31.830005359281447,10800,OGLE BLG-LPV-212352,LongPeriodV*,16.941
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ECL-316889,EclBin,21.319
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ECL-316124,EclBin,18.637
271.80035981437123,-31.830005359281447,10800,OGLE BLG-LPV-211883,LongPeriodV*,16.275
271.80035981437123,-31.830005359281447,10800,OGLE BLG-DSCT-07572,delSctV*,17.501
271.80035981437123,-31.830005359281447,10800,TYC 7391-2180-1,Star,11.27
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ECL-316593,EclBin,19.405
271.80035981437123,-31.830005359281447,10800,OGLE BLG-DSCT-07547,delSctV*,16.918
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ECL-316766,EclBin,19.222
271.80035981437123,-31.830005359281447,10800,OGLE BLG-LPV-211724,LongPeriodV*,18.441
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ECL-317173,EclBin,19.478
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ECL-315771,EclBin,16.08
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ELL-20294,EllipVar,17.417
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ECL-313464,EclBin,18.341
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ECL-315897,EclBin,19.315
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ELL-20392,EllipVar,15.245
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ECL-315097,EclBin,20.661
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ECL-315562,EclBin,19.837
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ECL-313216,EclBin,13.426
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ECL-317451,EclBin,20.266
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ECL-316675,EclBin,19.077
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ECL-317561,EclBin,18.93
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ECL-317507,EclBin,18.506
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ECL-315089,EclBin,19.71
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ECL-317447,EclBin,15.191
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ECL-312992,EclBin,19.026
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ECL-313997,EclBin,18.0
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ECL-315209,EclBin,18.711
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ECL-317962,EclBin,19.344
271.80035981437123,-31.830005359281447,10800,OGLE BLG-LPV-213130,Mira,17.055
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ECL-317463,EclBin,20.707
271.80035981437123,-31.830005359281447,10800,OGLE BLG-DSCT-07581,delSctV*,19.055
271.80035981437123,-31.830005359281447,10800,OGLE BLG-LPV-212089,LongPeriodV*,17.618
271.80035981437123,-31.830005359281447,10800,OGLE BLG-ELL-20300,EllipVar,17.721
