RA (deg),Dec (deg),radius,Object Name,Object Type,Flux
192.447196775,-62.32543525000001,10800,HD 312027,Star,10.04
192.447196775,-62.32543525000001,10800,TYC 8992-982-1,Star,11.63
192.447196775,-62.32543525000001,10800,HD 312028,Star,12.44
192.447196775,-62.32543525000001,10800,HD 312026,Star,10.38
192.447196775,-62.32543525000001,10800,HD 312018,Star,12.81
192.447196775,-62.32543525000001,10800,HD 312019,Star,12.15
192.447196775,-62.32543525000001,10800,HD 312029,Star,11.94
192.447196775,-62.32543525000001,10800,MO 1-106,Star,13.36
192.447196775,-62.32543525000001,10800,HD 312017,Star,12.04
192.447196775,-62.32543525000001,10800,HD 111455A,SB*,10.32
192.447196775,-62.32543525000001,10800,HD 312030,Star,11.39
192.447196775,-62.32543525000001,10800,TYC 8992-272-1,Star,12.12
192.447196775,-62.32543525000001,10800,TYC 8992-178-1,Star,12.62
192.447196775,-62.32543525000001,10800,TYC 8992-167-1,Star,11.52
192.447196775,-62.32543525000001,10800,HD 312020,Star,12.04
192.447196775,-62.32543525000001,10800,TYC 8992-132-1,Star,10.74
192.447196775,-62.32543525000001,10800,TYC 8992-1137-1,Star,12.24
192.447196775,-62.32543525000001,10800,TYC 8992-739-1,Star,12.15
192.447196775,-62.32543525000001,10800,TYC 8992-67-1,Star,12.4
192.447196775,-62.32543525000001,10800,TYC 8992-761-1,Star,11.77
192.447196775,-62.32543525000001,10800,TYC 8992-785-1,SB*,10.43
192.447196775,-62.32543525000001,10800,TYC 8992-528-1,Star,11.71
192.447196775,-62.32543525000001,10800,HD 312031,EclBin,11.88
192.447196775,-62.32543525000001,10800,HD 111365,Star,10.24
192.447196775,-62.32543525000001,10800,TYC 8992-1809-1,Star,12.71
192.447196775,-62.32543525000001,10800,HD 312021,EmLine*,10.54
192.447196775,-62.32543525000001,10800,TYC 8992-274-1,Star,13.14
192.447196775,-62.32543525000001,10800,UCAC4 140-098877,YSO_Candidate,13.757
192.447196775,-62.32543525000001,10800,TYC 8993-776-1,Star,11.16
192.447196775,-62.32543525000001,10800,TYC 8992-459-1,Star,12.11
192.447196775,-62.32543525000001,10800,OGLE GD-DSCT-3830,delSctV*,19.062
192.447196775,-62.32543525000001,10800,TYC 8993-1122-1,Star,12.72
192.447196775,-62.32543525000001,10800,HD 312024,Star,10.67
192.447196775,-62.32543525000001,10800,WOS 34,SB*,14.4
192.447196775,-62.32543525000001,10800,IRAS 12447-6201,Mira,17.662
192.447196775,-62.32543525000001,10800,TYC 8992-805-1,Star,11.47
192.447196775,-62.32543525000001,10800,HD 311857,Star,12.56
192.447196775,-62.32543525000001,10800,TYC 8992-449-1,Star,12.03
192.447196775,-62.32543525000001,10800,MO 1-118,Star,12.39
192.447196775,-62.32543525000001,10800,HD 312016,Star,11.43
192.447196775,-62.32543525000001,10800,UCAC4 138-095258,Star,11.762
192.447196775,-62.32543525000001,10800,TYC 8992-404-1,Star,11.05
192.447196775,-62.32543525000001,10800,HD 311858,Star,11.72
192.447196775,-62.32543525000001,10800,TYC 8993-660-1,Star,11.56
192.447196775,-62.32543525000001,10800,IRAS 12488-6156,LongPeriodV*_Candidate,11.13
192.447196775,-62.32543525000001,10800,HD 312015,PulsV*,10.8
192.447196775,-62.32543525000001,10800,TYC 8992-135-1,Star,12.66
192.447196775,-62.32543525000001,10800,IRAS 12471-6219,Mira,18.395
