RA (deg),Dec (deg),radius,Object Name,Object Type,Flux
13.408410735849056,-72.68725992452829,10800,OGLE J005335.95-724122.2,Be*_Candidate,15.344
13.408410735849056,-72.68725992452829,10800,OGLE SMC101.2  22517,EclBin,16.92
13.408410735849056,-72.68725992452829,10800,OGLE SMC-RRLYR-1251,RRLyrae,19.73
13.408410735849056,-72.68725992452829,10800,2MASS J00534411-7241007,RGB*_Candidate,17.46
13.408410735849056,-72.68725992452829,10800,2MASS J00533548-7241428,RGB*_Candidate,17.6
13.408410735849056,-72.68725992452829,10800,2MASS J00533606-7240435,RGB*_Candidate,17.52
13.408410735849056,-72.68725992452829,10800,[MA93]  697,EmLine*,16.213
13.408410735849056,-72.68725992452829,10800,DCMC J005330.87-724115.6,LongPeriodV*,17.43
13.408410735849056,-72.68725992452829,10800,OGLE J005339.70-724042.1,HighMassXBin,14.994
13.408410735849056,-72.68725992452829,10800,2MASS J00532981-7241166,RGB*_Candidate,17.26
13.408410735849056,-72.68725992452829,10800,[M2002] SMC  27062,Star,14.87
13.408410735849056,-72.68725992452829,10800,2MASS J00533572-7240366,RGB*_Candidate,17.52
13.408410735849056,-72.68725992452829,10800,2MASS J00533073-7240526,RGB*_Candidate,17.92
13.408410735849056,-72.68725992452829,10800,OGLE J005329.78-724130.1,EclBin,14.19
13.408410735849056,-72.68725992452829,10800,2MASS J00533796-7240323,RGB*_Candidate,17.45
13.408410735849056,-72.68725992452829,10800,2MASS J00533726-7241561,RGB*_Candidate,17.35
13.408410735849056,-72.68725992452829,10800,2MASS J00533463-7241554,RGB*_Candidate,17.79
13.408410735849056,-72.68725992452829,10800,OGLE SMC-LPV-10330,LongPeriodV*,16.57
13.408410735849056,-72.68725992452829,10800,RAW  817,C*,15.8
13.408410735849056,-72.68725992452829,10800,OGLE SMC-CEP-2080,ClassicalCep,17.624
13.408410735849056,-72.68725992452829,10800,OGLE SMC101.2  22138,EclBin,16.428
13.408410735849056,-72.68725992452829,10800,2MASS J00532785-7241255,RGB*_Candidate,16.41
13.408410735849056,-72.68725992452829,10800,[MA93]  695,EmLine*,15.926
13.408410735849056,-72.68725992452829,10800,2dFS   936,Star,14.02
13.408410735849056,-72.68725992452829,10800,2MASS J00534354-7240308,RGB*_Candidate,17.81
13.408410735849056,-72.68725992452829,10800,2MASS J00533647-7240228,RGB*_Candidate,17.54
13.408410735849056,-72.68725992452829,10800,2MASS J00533969-7240218,RGB*_Candidate,17.42
13.408410735849056,-72.68725992452829,10800,2MASS J00534916-7240547,RGB*_Candidate,17.24
13.408410735849056,-72.68725992452829,10800,SSTISAGEMA J005326.18-724128.4,LongPeriodV*,16.42
13.408410735849056,-72.68725992452829,10800,2MASS J00532541-7241201,RGB*_Candidate,17.8
13.408410735849056,-72.68725992452829,10800,SSTISAGEMA J005325.58-724126.7,RGB*_Candidate,16.81
13.408410735849056,-72.68725992452829,10800,2MASS J00532956-7241570,RGB*_Candidate,17.89
13.408410735849056,-72.68725992452829,10800,2MASS J00532549-7241011,RGB*_Candidate,17.34
13.408410735849056,-72.68725992452829,10800,OGLE SMC-CEP-2113,ClassicalCep,18.344
13.408410735849056,-72.68725992452829,10800,OGLE SMC-SC6 311244,Star,17.26
13.408410735849056,-72.68725992452829,10800,2MASS J00533199-7240199,RGB*_Candidate,18.74
13.408410735849056,-72.68725992452829,10800,2MASS J00533202-7242087,RGB*_Candidate,18.02
13.408410735849056,-72.68725992452829,10800,2MASS J00535054-7240466,RGB*_Candidate,18.18
13.408410735849056,-72.68725992452829,10800,2MASS J00532397-7241138,RGB*_Candidate,17.54
13.408410735849056,-72.68725992452829,10800,OGLE SMC-ECL- 7023,EllipVar,17.293
13.408410735849056,-72.68725992452829,10800,2MASS J00533073-7242097,RGB*_Candidate,16.59
13.408410735849056,-72.68725992452829,10800,2MASS J00534316-7240137,RGB*_Candidate,18.01
13.408410735849056,-72.68725992452829,10800,OGLE SMC-LPV-10297,LongPeriodV*,16.59
13.408410735849056,-72.68725992452829,10800,SSTISAGEMA J005348.19-724026.7,RGB*_Candidate,17.68
13.408410735849056,-72.68725992452829,10800,OGLE SMC-LPV-10612,LongPeriodV*,15.43
13.408410735849056,-72.68725992452829,10800,2MASS J00533324-7240112,RGB*_Candidate,17.27
13.408410735849056,-72.68725992452829,10800,2MASS J00535120-7241464,RGB*_Candidate,17.48
13.408410735849056,-72.68725992452829,10800,2MASS J00533994-7240073,RGB*_Candidate,17.86
13.408410735849056,-72.68725992452829,10800,2MASS J00535161-7240425,Star,15.22
13.408410735849056,-72.68725992452829,10800,2MASS J00532923-7242107,RGB*_Candidate,17.59
13.408410735849056,-72.68725992452829,10800,2MASS J00533037-7240143,RGB*_Candidate,17.62
13.408410735849056,-72.68725992452829,10800,OGLE SMC-ECL- 7029,EclBin,17.868
13.408410735849056,-72.68725992452829,10800,OGLE SMC-DSCT-1249,delSctV*,19.413
13.408410735849056,-72.68725992452829,10800,OGLE SMC-LPV-10384,LongPeriodV*,16.62
13.408410735849056,-72.68725992452829,10800,2MASS J00532205-7241349,RGB*_Candidate,17.3
13.408410735849056,-72.68725992452829,10800,2MASS J00535460-7241084,RGB*_Candidate,17.84
13.408410735849056,-72.68725992452829,10800,2MASS J00534472-7240039,RGB*_Candidate,17.48
13.408410735849056,-72.68725992452829,10800,2MASS J00532445-7242034,RGB*_Candidate,17.22
13.408410735849056,-72.68725992452829,10800,2MASS J00532760-7242172,RGB*_Candidate,17.01
13.408410735849056,-72.68725992452829,10800,2MASS J00535177-7242035,RGB*_Candidate,17.23
13.408410735849056,-72.68725992452829,10800,SSTISAGEMA J005345.65-724001.5,RGB*_Candidate,17.39
13.408410735849056,-72.68725992452829,10800,OGLE SMC101.1  54058,EclBin,15.84
13.408410735849056,-72.68725992452829,10800,OGLE SMC-LPV-10642,LongPeriodV*,16.96
13.408410735849056,-72.68725992452829,10800,2MASS J00533370-7242349,RGB*_Candidate,18.08
13.408410735849056,-72.68725992452829,10800,2MASS J00532509-7242137,RGB*_Candidate,18.28
13.408410735849056,-72.68725992452829,10800,AzV 148,Star,14.16
13.408410735849056,-72.68725992452829,10800,2MASS J00535172-7242106,RGB*_Candidate,17.81
13.408410735849056,-72.68725992452829,10800,SkKM 117,RedSG_Candidate,12.36
13.408410735849056,-72.68725992452829,10800,2MASS J00535591-7241408,RGB*_Candidate,16.85
13.408410735849056,-72.68725992452829,10800,OGLE SMC-SC6 237514,EclBin,16.342
13.408410735849056,-72.68725992452829,10800,2MASS J00533000-7239576,RGB*_Candidate,18.3
13.408410735849056,-72.68725992452829,10800,2MASS J00535661-7241324,RGB*_Candidate,18.73
13.408410735849056,-72.68725992452829,10800,OGLE SMC-LPV-10519,LongPeriodV*,16.78
13.408410735849056,-72.68725992452829,10800,2MASS J00535507-7240343,RGB*_Candidate,16.99
13.408410735849056,-72.68725992452829,10800,2MASS J00534156-7239486,RGB*_Candidate,17.77
13.408410735849056,-72.68725992452829,10800,2MASS J00531880-7240580,RGB*_Candidate,17.46
13.408410735849056,-72.68725992452829,10800,OGLE J005353.43-724018.8,EclBin,14.08
13.408410735849056,-72.68725992452829,10800,SV* HV 12106,ClassicalCep,16.908
13.408410735849056,-72.68725992452829,10800,2MASS J00535790-7241179,RedSG_Candidate,13.88
13.408410735849056,-72.68725992452829,10800,OGLE J005321.80-724205.9,EclBin,15.95
13.408410735849056,-72.68725992452829,10800,2MASS J00535177-7240090,RGB*_Candidate,17.88
13.408410735849056,-72.68725992452829,10800,2MASS J00534871-7242316,RGB*_Candidate,17.64
13.408410735849056,-72.68725992452829,10800,OGLE SMC101.2  22106,EclBin,16.207
13.408410735849056,-72.68725992452829,10800,OGLE SMC-LPV-10543,LongPeriodV*,16.89
13.408410735849056,-72.68725992452829,10800,[MA93]  707,EmLine*,16.14
13.408410735849056,-72.68725992452829,10800,2MASS J00534133-7242478,RGB*_Candidate,17.53
13.408410735849056,-72.68725992452829,10800,2MASS J00535929-7241116,RGB*_Candidate,17.39
13.408410735849056,-72.68725992452829,10800,OGLE SMC-SC6 1962-0,Star,15.791
