RA (deg),Dec (deg),radius,Object Name,Object Type,Flux
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-295526,EclBin,18.024
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-295650,EclBin,20.553
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-296036,EclBin,16.809
271.309184627907,-33.52960713953488,10800,TYC 7395-1917-1,Star,10.46
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-296227,EclBin,20.66
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-294876,EclBin,19.491
271.309184627907,-33.52960713953488,10800,TYC 7395-1881-1,Star,10.36
271.309184627907,-33.52960713953488,10800,HD 164977,Star,10.3
271.309184627907,-33.52960713953488,10800,HD 164978,Star,10.3
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-295611,EclBin,19.972
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-296335,EclBin,19.638
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-295818,EclBin,18.268
271.309184627907,-33.52960713953488,10800,TYC 7395-1980-1,Star,11.8
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-294723,EclBin,19.509
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-296386,EclBin,18.18
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-294380,EclBin,19.7
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-296783,EclBin,19.1
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-297154,EclBin,18.482
271.309184627907,-33.52960713953488,10800,OGLE BLG-LPV-205168,LongPeriodV*,16.801
271.309184627907,-33.52960713953488,10800,OGLE BLG-RRLYR-12930,RRLyrae,16.09
271.309184627907,-33.52960713953488,10800,OGLE BLG-LPV-203723,LongPeriodV*,16.139
271.309184627907,-33.52960713953488,10800,OGLE BLG-ELL-19028,EllipVar,17.853
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-296039,EclBin,19.034
271.309184627907,-33.52960713953488,10800,OGLE BLG-LPV-204718,LongPeriodV*,16.203
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-297228,EclBin,18.289
271.309184627907,-33.52960713953488,10800,OGLE BLG-LPV-203940,LongPeriodV*,17.88
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-297295,EclBin,18.166
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-293830,EclBin,19.56
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-293762,EllipVar,17.805
271.309184627907,-33.52960713953488,10800,OGLE BLG-RRLYR-12952,RRLyrae,16.198
271.309184627907,-33.52960713953488,10800,OGLE BLG-DSCT-07148,delSctV*,17.23
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-295978,EclBin,19.901
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-297862,EclBin,19.989
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-292715,EclBin,18.74
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-294015,EclBin,18.301
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-296511,EclBin,17.889
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-297146,EclBin,17.738
271.309184627907,-33.52960713953488,10800,OGLE BLG-RRLYR-12807,RRLyrae,16.307
271.309184627907,-33.52960713953488,10800,OGLE BLG-RRLYR-12862,RRLyrae,16.621
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-297515,EclBin,19.33
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-298571,EclBin,18.462
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-295793,EclBin,17.762
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-295553,EclBin,19.229
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-292370,EclBin,19.397
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-296441,EclBin,19.02
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-295006,EclBin,18.683
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-296275,EclBin,19.231
271.309184627907,-33.52960713953488,10800,OGLE BLG-ELL-19264,EllipVar,16.507
271.309184627907,-33.52960713953488,10800,OGLE BLG-LPV-205866,LongPeriodV*,15.651
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-292854,EclBin,19.949
271.309184627907,-33.52960713953488,10800,OGLE BLG-LPV-202925,LongPeriodV*,17.43
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-295480,EclBin,19.32
271.309184627907,-33.52960713953488,10800,OGLE BLG-LPV-205048,LongPeriodV*,16.325
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-299037,EclBin,17.2
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-294177,EclBin,19.161
271.309184627907,-33.52960713953488,10800,TYC 7395-2000-1,Star,11.11
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-292510,EclBin,20.953
271.309184627907,-33.52960713953488,10800,HD 318977,Star,11.4
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-298138,EclBin,18.046
271.309184627907,-33.52960713953488,10800,OGLE BLG-LPV-204405,LongPeriodV*,17.101
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-297479,EclBin,18.102
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-293550,EclBin,19.887
271.309184627907,-33.52960713953488,10800,OGLE BLG145.3  13557,Star,16.574
271.309184627907,-33.52960713953488,10800,OGLE BLG-RRLYR-12976,RRLyrae,17.079
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-291692,EclBin,20.083
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-296651,EclBin,17.795
271.309184627907,-33.52960713953488,10800,OGLE BLG-RRLYR-13018,RRLyrae,16.454
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-292833,EclBin,18.504
271.309184627907,-33.52960713953488,10800,OGLE BLG145.3  17919,Star,17.021
271.309184627907,-33.52960713953488,10800,OGLE BLG145.3  13590,Star,17.001
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-298641,EclBin,20.215
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-294563,EclBin,19.055
271.309184627907,-33.52960713953488,10800,OGLE BLG145.3  17908,Star,17.183
271.309184627907,-33.52960713953488,10800,OGLE BLG145.3  13545,Star,16.7
271.309184627907,-33.52960713953488,10800,OGLE BLG145.3  17935,Star,17.192
271.309184627907,-33.52960713953488,10800,OGLE BLG-LPV-206078,LongPeriodV*,19.694
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-291546,EclBin,18.557
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-297931,EclBin,19.193
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-291369,EclBin,18.999
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-295202,EclBin,19.492
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-299410,EclBin,17.369
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-294147,EclBin,19.523
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-291255,EclBin,18.722
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-292745,EclBin,20.4
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-298731,EclBin,19.499
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-291016,EclBin,20.616
271.309184627907,-33.52960713953488,10800,OGLE BLG-RRLYR-12696,RRLyrae,15.464
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-296709,EclBin,17.955
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-292350,EclBin,19.944
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-298136,EclBin,18.544
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-291574,EclBin,17.523
271.309184627907,-33.52960713953488,10800,OGLE BLG145.2 123177,Star,16.891
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-294193,EclBin,18.194
271.309184627907,-33.52960713953488,10800,OGLE BLG145.2 123199,Star,17.097
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-292892,EclBin,15.292
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-299911,EclBin,19.893
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-291326,EclBin,18.405
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-299902,EclBin,19.382
271.309184627907,-33.52960713953488,10800,OGLE BLG145.2 123202,Star,17.131
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-300015,EclBin,19.591
271.309184627907,-33.52960713953488,10800,OGLE BLG145.2 123204,Star,17.244
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-291842,EclBin,18.644
271.309184627907,-33.52960713953488,10800,OGLE BLG145.2 118908,Star,17.14
271.309184627907,-33.52960713953488,10800,OGLE BLG145.2 118894,Star,17.081
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-290682,EclBin,18.442
271.309184627907,-33.52960713953488,10800,OGLE BLG145.2 123198,Star,17.1
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-292084,EclBin,17.835
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-291544,EclBin,19.516
271.309184627907,-33.52960713953488,10800,OGLE BLG145.2 118864,Star,16.554
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-295550,EclBin,18.247
271.309184627907,-33.52960713953488,10800,OGLE BLG145.2 118915,Star,16.998
271.309184627907,-33.52960713953488,10800,OGLE BLG145.2 118854,Star,16.425
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-300296,EclBin,19.08
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-297030,EclBin,17.617
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-295227,EclBin,18.47
271.309184627907,-33.52960713953488,10800,TYC 7395-2069-1,Star,10.82
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-300292,EclBin,19.43
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-299530,EclBin,19.775
271.309184627907,-33.52960713953488,10800,OGLE BLG-ECL-300247,EclBin,19.94
