RA (deg),Dec (deg),radius,Object Name,Object Type,Flux
285.272094195122,-13.418394634146342,10800,ATO J285.2193-13.4320,RSCVnV*,13.966
285.272094195122,-13.418394634146342,10800,TYC 5718-754-1,Star,11.68
285.272094195122,-13.418394634146342,10800,TYC 5718-981-1,Star,12.64
285.272094195122,-13.418394634146342,10800,TYC 5719-976-1,Star,10.57
285.272094195122,-13.418394634146342,10800,ATO J285.3986-13.4872,LongPeriodV*,14.677
285.272094195122,-13.418394634146342,10800,ATO J285.2371-13.5734,LongPeriodV*,14.021
285.272094195122,-13.418394634146342,10800,BD-13  5178,Star,10.55
285.272094195122,-13.418394634146342,10800,TYC 5718-639-1,Star,11.94
285.272094195122,-13.418394634146342,10800,TYC 5718-548-1,Star,11.07
285.272094195122,-13.418394634146342,10800,UCAC4 384-126842,SB*,14.447
285.272094195122,-13.418394634146342,10800,TYC 5719-338-1,Star,10.58
285.272094195122,-13.418394634146342,10800,ATO J285.0914-13.3238,Variable*,14.213
285.272094195122,-13.418394634146342,10800,TYC 5719-391-1,Star,11.09
285.272094195122,-13.418394634146342,10800,TYC 5719-377-1,Star,11.61
285.272094195122,-13.418394634146342,10800,ATO J285.3414-13.2174,Variable*,15.783
285.272094195122,-13.418394634146342,10800,TYC 5719-398-1,Star,11.75
285.272094195122,-13.418394634146342,10800,TYC 5718-469-1,Star,10.94
285.272094195122,-13.418394634146342,10800,BD-13  5176,Star,10.22
285.272094195122,-13.418394634146342,10800,TYC 5718-760-1,Star,12.04
285.272094195122,-13.418394634146342,10800,TYC 5719-634-1,Star,11.88
285.272094195122,-13.418394634146342,10800,TYC 5719-613-1,Star,10.47
285.272094195122,-13.418394634146342,10800,TYC 5718-535-1,Star,10.65
285.272094195122,-13.418394634146342,10800,TYC 5719-108-1,Star,10.99
285.272094195122,-13.418394634146342,10800,TYC 5718-460-1,Star,11.16
285.272094195122,-13.418394634146342,10800,TYC 5718-1033-1,Star,11.39
285.272094195122,-13.418394634146342,10800,TYC 5718-805-1,Star,11.0
285.272094195122,-13.418394634146342,10800,TYC 5718-423-1,Star,11.42
285.272094195122,-13.418394634146342,10800,ATO J285.3635-13.1464,Variable*,15.623
285.272094195122,-13.418394634146342,10800,TYC 5718-5-1,Star,11.02
285.272094195122,-13.418394634146342,10800,TYC 5718-564-1,Star,11.75
