RA (deg),Dec (deg),radius,Object Name,Object Type,Flux
172.95496507547165,-60.55585560377359,10800,OGLE GD-ECL-7541,EclBin,20.446
172.95496507547165,-60.55585560377359,10800,OGLE GD-ECL-7557,EclBin,21.394
172.95496507547165,-60.55585560377359,10800,OGLE GD-ECL-7539,EclBin,17.412
172.95496507547165,-60.55585560377359,10800,[W65] 180,Star,10.85
172.95496507547165,-60.55585560377359,10800,OGLE GD-ECL-7588,EclBin,14.016
172.95496507547165,-60.55585560377359,10800,OGLE GD-ECL-7519,EclBin,21.645
172.95496507547165,-60.55585560377359,10800,OGLE GD-ECL-7530,EclBin,21.57
172.95496507547165,-60.55585560377359,10800,OGLE GD-ECL-7589,EclBin,18.237
172.95496507547165,-60.55585560377359,10800,OGLE GD-ECL-7535,EclBin,21.46
172.95496507547165,-60.55585560377359,10800,OGLE GD-ECL-7497,EclBin,21.119
172.95496507547165,-60.55585560377359,10800,[W65] 179,Star,14.1
172.95496507547165,-60.55585560377359,10800,OGLE GD-CEP-678,ClassicalCep,13.724
172.95496507547165,-60.55585560377359,10800,[W65] 174,Star,12.4
172.95496507547165,-60.55585560377359,10800,OGLE GD-ECL-7611,EclBin,19.948
172.95496507547165,-60.55585560377359,10800,OGLE GD-ECL-7549,EclBin,18.859
172.95496507547165,-60.55585560377359,10800,V* V1222 Cen,EclBin,18.248
172.95496507547165,-60.55585560377359,10800,OGLE GD-ECL-7607,EclBin,18.48
172.95496507547165,-60.55585560377359,10800,TYC 8972-341-1,Star,13.19
172.95496507547165,-60.55585560377359,10800,OGLE GD-ECL-7632,EclBin,20.396
172.95496507547165,-60.55585560377359,10800,OGLE GD-DSCT-41,delSctV*,17.639
172.95496507547165,-60.55585560377359,10800,OGLE GD-ECL-7472,EclBin,19.036
172.95496507547165,-60.55585560377359,10800,OGLE GD-ECL-7467,EclBin,19.931
172.95496507547165,-60.55585560377359,10800,OGLE GD-ECL-7470,EclBin,19.487
172.95496507547165,-60.55585560377359,10800,OGLE GD-ECL-7488,EclBin,18.956
172.95496507547165,-60.55585560377359,10800,[W65] 171,Star,11.26
