RA (deg),Dec (deg),radius,Object Name,Object Type,Flux
115.25379009090908,-25.98657793181818,10800,[W71b] 008-03,C*,16.3
115.25379009090908,-25.98657793181818,10800,TYC 6544-42-1,Star,11.72
115.25379009090908,-25.98657793181818,10800,TYC 6544-354-1,Star,12.11
115.25379009090908,-25.98657793181818,10800,TYC 6544-796-1,Star,10.66
115.25379009090908,-25.98657793181818,10800,TYC 6544-2638-1,Star,12.21
115.25379009090908,-25.98657793181818,10800,TYC 6544-258-1,Star,11.0
115.25379009090908,-25.98657793181818,10800,TOI-972,Star,10.83
115.25379009090908,-25.98657793181818,10800,TYC 6544-3844-1,Star,11.57
115.25379009090908,-25.98657793181818,10800,TYC 6544-2216-1,Star,12.19
115.25379009090908,-25.98657793181818,10800,TYC 6544-1882-1,Star,12.43
115.25379009090908,-25.98657793181818,10800,TYC 6544-3770-1,Star,12.43
115.25379009090908,-25.98657793181818,10800,ATO J115.3455-26.0540,Variable*,15.211
115.25379009090908,-25.98657793181818,10800,TYC 6544-3094-1,Star,12.27
115.25379009090908,-25.98657793181818,10800,TYC 6544-270-1,Star,10.51
115.25379009090908,-25.98657793181818,10800,TYC 6544-980-1,Star,11.34
115.25379009090908,-25.98657793181818,10800,TYC 6544-1836-1,Star,11.27
115.25379009090908,-25.98657793181818,10800,CD-25  4898,Star,10.94
115.25379009090908,-25.98657793181818,10800,TYC 6544-2322-1,Star,12.93
115.25379009090908,-25.98657793181818,10800,TYC 6544-2156-1,Star,10.65
115.25379009090908,-25.98657793181818,10800,UCAC4 321-030408,SB*,11.933
115.25379009090908,-25.98657793181818,10800,TYC 6543-3266-1,Star,12.01
115.25379009090908,-25.98657793181818,10800,TYC 6544-3444-1,Star,12.24
115.25379009090908,-25.98657793181818,10800,TYC 6544-1598-1,Star,12.03
115.25379009090908,-25.98657793181818,10800,ATO J115.4075-26.0293,EclBin_Candidate,16.483
115.25379009090908,-25.98657793181818,10800,TYC 6544-706-1,HighPM*,11.84
115.25379009090908,-25.98657793181818,10800,TYC 6544-1490-1,Star,10.98
115.25379009090908,-25.98657793181818,10800,UCAC4 320-029960,Star,13.046
115.25379009090908,-25.98657793181818,10800,TYC 6544-1686-1,Star,11.32
115.25379009090908,-25.98657793181818,10800,TYC 6544-1466-1,Star,11.63
115.25379009090908,-25.98657793181818,10800,TYC 6543-2844-1,HighPM*,10.98
115.25379009090908,-25.98657793181818,10800,TYC 6544-1546-1,Star,12.22
115.25379009090908,-25.98657793181818,10800,TYC 6543-2050-1,Star,10.36
115.25379009090908,-25.98657793181818,10800,TYC 6543-3164-1,Star,11.62
115.25379009090908,-25.98657793181818,10800,TYC 6544-3680-1,Star,12.15
115.25379009090908,-25.98657793181818,10800,TYC 6544-820-1,Star,11.56
115.25379009090908,-25.98657793181818,10800,TYC 6544-3542-1,Star,10.26
115.25379009090908,-25.98657793181818,10800,TYC 6543-3009-1,Star,12.35
115.25379009090908,-25.98657793181818,10800,TYC 6543-2932-1,Star,10.46
115.25379009090908,-25.98657793181818,10800,TYC 6544-1736-1,Star,12.06
115.25379009090908,-25.98657793181818,10800,TYC 6544-3828-1,Star,11.48
115.25379009090908,-25.98657793181818,10800,TYC 6544-442-1,Star,11.92
115.25379009090908,-25.98657793181818,10800,TYC 6544-3600-1,Star,10.92
115.25379009090908,-25.98657793181818,10800,TYC 6544-2896-1,Star,11.12
115.25379009090908,-25.98657793181818,10800,TYC 6544-3078-1,Star,10.35
