RA (deg),Dec (deg),radius,Object Name,Object Type,Flux
257.4157462352941,15.046204,10800,UCAC4 526-064376,SB*,13.329
257.4157462352941,15.046204,10800,TYC 1535-1300-1,SB*,11.42
257.4157462352941,15.046204,10800,TYC 1535-978-1,Star,12.13
257.4157462352941,15.046204,10800,TYC 1535-882-1,Star,11.29
257.4157462352941,15.046204,10800,TYC  989-656-1,SB*,11.28
257.4157462352941,15.046204,10800,ATO J257.2459+15.0768,RRLyrae,16.38
257.4157462352941,15.046204,10800,TYC  989-1474-1,Star,10.68
257.4157462352941,15.046204,10800,TYC 1535-1474-1,Star,11.93
257.4157462352941,15.046204,10800,TYC 1535-1116-1,Star,11.7
257.4157462352941,15.046204,10800,TYC 1535-1682-1,Star,12.28
257.4157462352941,15.046204,10800,UCAC4 526-064314,SB*,13.369
257.4157462352941,15.046204,10800,CRTS J171003.8+151340,EclBin,17.28
257.4157462352941,15.046204,10800,TYC 1535-1626-1,Star,11.23
257.4157462352941,15.046204,10800,TYC  989-466-1,**,11.533
257.4157462352941,15.046204,10800,TYC 1535-1082-1,Star,12.05
257.4157462352941,15.046204,10800,ZTF J171042.06+151015.9,RRLyrae,17.56
257.4157462352941,15.046204,10800,UCAC4 527-063233,SB*,12.771
257.4157462352941,15.046204,10800,ATO J257.6936+14.9212,delSctV*,12.57
257.4157462352941,15.046204,10800,TYC 1535-986-1,Star,11.45
257.4157462352941,15.046204,10800,ATO J257.2998+14.7429,Variable*,14.387
257.4157462352941,15.046204,10800,TYC  989-526-1,Star,11.93
257.4157462352941,15.046204,10800,TYC 1535-1296-1,Star,12.15
257.4157462352941,15.046204,10800,CRTS J171044.9+144853,RRLyrae,17.13
257.4157462352941,15.046204,10800,TYC 1535-1258-1,Star,11.48
257.4157462352941,15.046204,10800,TYC  989-644-1,Star,12.52
257.4157462352941,15.046204,10800,UCAC4 526-064477,SB*,12.893
257.4157462352941,15.046204,10800,CRTS J170812.9+151043,EclBin,15.33
257.4157462352941,15.046204,10800,TYC  989-604-1,HighPM*,11.11
257.4157462352941,15.046204,10800,TYC 1535-1820-1,Star,11.81
257.4157462352941,15.046204,10800,2MASS J17103339+1523013,Star,15.157
257.4157462352941,15.046204,10800,TYC 1535-1530-1,Star,12.38
257.4157462352941,15.046204,10800,2MASS J17102748+1524404,Star,14.94
