Plate ID, Date, RA_CTR, DEC_CTR
a06274, 1903-01-03T08:51:21.6Z, 219.215083, -26.207107
a04433, NA, NA, NA
a11613, 1916-11-14T02:24:00Z, 341.290159, -44.702713
a08729, 1908-05-13T01:09:07.2Z, 148.91249, -13.049493
a15554, 1931-08-03T18:15:50.4Z, 271.517549, -33.651522
a13955, 1926-08-06T00:37:26.4Z, 211.109268, 28.514423
a04938, 1900-12-30T00:51:50.4Z, 354.775275, -21.978477
a17147, 1934-09-11T19:45:07.2Z, 286.098007, -52.095948
a06386, 1903-05-20T05:22:33.6Z, 269.300255, -45.041075
a15946, 1932-03-10T23:51:21.6Z, 211.246752, -45.510088
a19248, 1937-04-09T01:20:38.4Z, 254.135847, 2.280702
a19172, 1937-03-12T02:18:14.4Z, 214.33515, -35.138605
a01007, 1894-10-11T01:30:43.2Z, 303.322863, 27.390681
a04190, 1899-12-12T02:11:02.4Z, 38.663279, -52.379341
a01147, 1894-10-20T03:43:12Z, 337.996698, 2.402342
a12485, 1923-07-04T01:01:55.2Z, 250.227566, -28.55823
a16145, 1932-07-12T02:32:38.4Z, 23.642016, -42.182492
a02916, 1897-12-02T02:55:40.8Z, 73.144484, -57.53394
a08513, 1907-09-18T04:52:19.2Z, 12.515228, -79.439663
a19857, NA, NA, NA
a12423, 1923-06-09T02:58:33.6Z, 277.754002, -30.145371
a15218, 1931-02-27T02:52:48Z, 204.331605, -55.042884
a19928, 1938-02-01T19:45:07.2Z, 123.23331, -42.739698
a16697, 1933-12-23T01:26:24Z, 130.746079, -50.210221
a10333, 1910-11-09T04:12:00Z, 28.19922, -81.524007
a19554, 1937-07-06T20:31:12Z, 286.632771, -75.095742
a06936, NA, NA, NA
a07690, 1906-05-25T03:37:26.4Z, 164.258414, -62.039005
a00655, NA, NA, NA
a15841, 1931-12-05T00:08:38.4Z, 131.134505, -0.433823
a10137, 1910-06-15T07:16:19.2Z, 289.873765, -37.565835
a17771, 1935-07-01T02:29:45.6Z, 334.66747, -16.915534
a13062, 1924-08-22T00:27:21.6Z, 285.124917, -13.304238
a13817, 1926-06-13T01:23:31.2Z, 156.585673, -55.044888
