Object Type,Count
SB*,157
Star,1121
RRLyrae,97
EclBin,147
**,18
delSctV*,8
Variable*,8
HighPM*,61
EmLine*,27
ChemPec*,11
RSCVnV*,5
LongPeriodV*,10
HotSubdwarf,5
HighVel*,1
LongPeriodV*_Candidate,5
QSO,4
PulsV*,1
gammaDorV*,2
Supernova,1
YSO_Candidate,3
QSO_Candidate,2
Mira,3
Blend,1
CataclyV*_Candidate,1
AGN_Candidate,1
