Object Type,Count
Mira,104
EclBin,7184
EllipVar,347
RRLyrae,474
Star,2694
LongPeriodV*,2127
delSctV*,243
LongPeriodV*_Candidate,18
Variable*,41
RGB*,1
HighPM*,15
Type2Cep,7
PlanetaryNeb,2
CataclyV*,1
**,5
SB*,1
PlanetaryNeb_Candidate,1
OH/IR*,1
ClassicalCep,3
ChemPec*,2
YSO_Candidate,1
