Object Type,Count
RSCVnV*,9
Star,2789
LongPeriodV*,114
SB*,46
Variable*,148
LongPeriodV*_Candidate,188
EclBin,162
RRLyrae,23
HighPM*,62
YSO_Candidate,29
Mira,18
delSctV*,6
**,17
EclBin_Candidate,12
PulsV*,6
ChemPec*,13
S*,2
C*,2
Type2Cep,3
PlanetaryNeb,2
alf2CVnV*,1
EmLine*,1
HotSubdwarf,1
